h1,h2,h3,color,value,year
West,Tibet 1.13,Tibet-in,7,0.83980001,2005-2010
West,Xinjiang 0.39,Xinjiang-in,7,0.239029999,2005-2010
West,Qinghai 1.31,Qinghai-in,7,0.260200002,2005-2010
West,Gansu 2.08,Gansu-in,7,0.73402,2005-2010
West,Ningxia 0.33,Ningxia-in,7,0.18254,2005-2010
West,Shaanxi 0.15,Shaanxi-in,7,0.091969999,2005-2010
West,Inner Mongolia 1.48,Inner Mongolia-in,7,0.82768,2005-2010
West,Chongqing 2.47,Chongqing-in,7,0.990192006,2010-2015
West,Guizhou 3.5,Guizhou-in,7,0.999418004,2010-2015
West,Guangxi 3.48,Guangxi-in,7,0.859547004,2010-2015
West,Yunnan 2.25,Yunnan-in,7,0.793161002,2010-2015
West,Sichuan 5.3,Sichuan-in,7,1.623354002,2010-2015
West,Tibet 1.3,Tibet-in,7,0.875223005,2010-2015
West,Xinjiang 0.4,Xinjiang-in,7,0.188515001,2010-2015
West,Qinghai 1.63,Qinghai-in,7,0.387418001,2010-2015
West,Gansu 2.5,Gansu-in,7,1.126838004,2010-2015
West,Ningxia 0.37,Ningxia-in,7,0.204583999,2010-2015
West,Shaanxi 0.16,Shaanxi-in,7,0.099744999,2010-2015
West,Inner Mongolia 1.31,Inner Mongolia-in,7,0.677099001,2010-2015
West,Chongqing 2.58,Chongqing-out,8,1.844060032,2005-2010
West,Guizhou 3.27,Guizhou-out,8,2.680750021,2005-2010
West,Guangxi 3.42,Guangxi-out,8,2.820530073,2005-2010
West,Yunnan 1.71,Yunnan-out,8,1.089069998,2005-2010
West,Sichuan 6.04,Sichuan-out,8,4.988089995,2005-2010
West,Tibet 1.13,Tibet-out,8,0.286690002,2005-2010
West,Xinjiang 0.39,Xinjiang-out,8,0.15066,2005-2010
West,Qinghai 1.31,Qinghai-out,8,1.046860005,2005-2010
West,Gansu 2.08,Gansu-out,8,1.347489994,2005-2010
West,Ningxia 0.33,Ningxia-out,8,0.149979999,2005-2010
West,Shaanxi 0.15,Shaanxi-out,8,0.06249,2005-2010
West,Inner Mongolia 1.48,Inner Mongolia-out,8,0.647590001,2005-2010
West,Chongqing 2.47,Chongqing-out,8,1.477546979,2010-2015
West,Guizhou 3.5,Guizhou-out,8,2.49619603,2010-2015
West,Guangxi 3.48,Guangxi-out,8,2.622258044,2010-2015
West,Yunnan 2.25,Yunnan-out,8,1.461677992,2010-2015
West,Sichuan 5.3,Sichuan-out,8,3.67206701,2010-2015
West,Tibet 1.3,Tibet-out,8,0.426712004,2010-2015
West,Xinjiang 0.4,Xinjiang-out,8,0.209097998,2010-2015
West,Qinghai 1.63,Qinghai-out,8,1.241228003,2010-2015
West,Gansu 2.5,Gansu-out,8,1.371744992,2010-2015
West,Ningxia 0.37,Ningxia-out,8,0.170190999,2010-2015
West,Shaanxi 0.16,Shaanxi-out,8,0.062711,2010-2015
West,Inner Mongolia 1.31,Inner Mongolia-out,8,0.632450998,2010-2015
