h1,h2,h3,color,value,year,
Asia,SGP 1487,SGP-out,4,774.7760362,2018,
Asia,THA 654,THA-out,4,337.3114036,2018,
Asia,VNM 523,VNM-out,4,260.1025,2018,
Asia,CHN 5716,CHN-out,4,2904.513533,2019,
Asia,HKG 1693,HKG-out,4,858.6186839,2019,
Asia,IDN 453,IDN-out,4,207.4691845,2019,
Asia,IND 1242,IND-out,4,569.3807329,2019,
Asia,ISR 257,ISR-out,4,131.7319,2019,
Asia,JPN 2247,JPN-out,4,1217.915856,2019,
Asia,KAZ 145,KAZ-out,4,68.42079828,2019,
Asia,KOR 1338,KOR-out,4,701.8786,2019,
Asia,MYS 490,MYS-out,4,254.1336833,2019,
Asia,PHL 247,PHL-out,4,108.1425889,2019,
Asia,QAT 181,QAT-out,4,100.9895604,2019,
Asia,RUS 995,RUS-out,4,535.51136,2019,
Asia,SAU 538,SAU-out,4,306.4808497,2019,
Asia,SGP 1473,SGP-out,4,766.7464798,2019,
Asia,THA 639,THA-out,4,334.9956157,2019,
Asia,VNM 562,VNM-out,4,283.063,2019,
Asia,CHN 5684,CHN-out,4,2974.04595,2020,
Asia,HKG 1588,HKG-out,4,807.2882805,2020,
Asia,IDN 378,IDN-out,4,183.6397265,2020,
Asia,IND 1055,IND-out,4,507.289199,2020,
Asia,ISR 239,ISR-out,4,126.579,2020,
Asia,JPN 1967,JPN-out,4,1070.130257,2020,
Asia,KAZ 117,KAZ-out,4,54.39623496,2020,
Asia,KOR 1211,KOR-out,4,645.4507,2020,
Asia,MYS 426,MYS-out,4,220.2784149,2020,
Asia,PHL 199,PHL-out,4,91.62723458,2020,
Asia,QAT 154,QAT-out,4,81.41126374,2020,
Asia,RUS 809,RUS-out,4,425.19753,2020,
Asia,SAU 396,SAU-out,4,205.8873676,2020,
Asia,SGP 1400,SGP-out,4,731.6162325,2020,
Asia,THA 528,THA-out,4,270.9678087,2020,
Asia,VNM 578,VNM-out,4,291.62,2020,
Europe,AUT 555,AUT-in,5,273.0603236,2018,
Europe,BEL 1051,BEL-in,5,523.6811079,2018,
Europe,CHE 1271,CHE-in,5,608.7695662,2018,
Europe,CZE 404,CZE-in,5,200.6438989,2018,
Europe,DEU 3955,DEU-in,5,1788.646582,2018,
Europe,DNK 436,DNK-in,5,202.1440616,2018,
Europe,ESP 1112,ESP-in,5,535.8914328,2018,
Europe,FIN 255,FIN-in,5,128.8570035,2018,
Europe,FRA 2234,FRA-in,5,1100.991125,2018,
Europe,GBR 2432,GBR-in,5,1255.240292,2018,
Europe,GRC 184,GRC-in,5,94.99506946,2018,
Europe,HUN 297,HUN-in,5,147.9073479,2018,
Europe,IRL 1121,IRL-in,5,546.1736336,2018,
Europe,ITA 1426,ITA-in,5,676.5026596,2018,
Europe,LUX 943,LUX-in,5,469.4407559,2018,
Europe,NLD 2159,NLD-in,5,1025.848085,2018,
Europe,NOR 388,NOR-in,5,173.1177391,2018,
Europe,POL 685,POL-in,5,345.174,2018,
Europe,PRT 237,PRT-in,5,120.2519952,2018,
Europe,SVK 211,SVK-in,5,106.1642325,2018,
Europe,SWE 601,SWE-in,5,288.6087113,2018,
Europe,TUR 510,TUR-in,5,266.163,2018,
Europe,UKR 152,UKR-in,5,81.136,2018,
Europe,AUT 545,AUT-in,5,265.8680311,2019,
Europe,BEL 1021,BEL-in,5,506.3429766,2019,
Europe,CHE 1256,CHE-in,5,601.830175,2019,
Europe,CZE 397,CZE-in,5,197.4325856,2019,
Europe,DEU 3813,DEU-in,5,1732.191543,2019,
Europe,DNK 437,DNK-in,5,200.4396042,2019,
Europe,ESP 1080,ESP-in,5,518.1373899,2019,
Europe,FIN 259,FIN-in,5,128.8291566,2019,
Europe,FRA 2186,FRA-in,5,1071.213611,2019,
Europe,GBR 2384,GBR-in,5,1213.585233,2019,
Europe,GRC 180,GRC-in,5,91.91267114,2019,
Europe,HUN 305,HUN-in,5,152.4140754,2019,
Europe,IRL 1289,IRL-in,5,665.0484892,2019,
Europe,ITA 1361,ITA-in,5,638.4208228,2019,
Europe,LUX 926,LUX-in,5,461.548909,2019,
Europe,NLD 2019,NLD-in,5,962.894495,2019,
Europe,NOR 361,NOR-in,5,171.3484469,2019,
Europe,POL 687,POL-in,5,340.999,2019,
Europe,PRT 232,PRT-in,5,117.7559322,2019,
Europe,SVK 205,SVK-in,5,103.727004,2019,
Europe,SWE 593,SWE-in,5,277.0365069,2019,
Europe,TUR 498,TUR-in,5,246.794,2019,
Europe,UKR 164,UKR-in,5,87.438,2019,
Europe,AUT 477,AUT-in,5,232.7154531,2020,
Europe,BEL 955,BEL-in,5,471.1537407,2020,
Europe,CHE 1190,CHE-in,5,576.410644,2020,
Europe,CZE 363,CZE-in,5,178.4465022,2020,
Europe,DEU 3482,DEU-in,5,1573.330128,2020,
Europe,DNK 416,DNK-in,5,190.5257136,2020,
Europe,ESP 888,ESP-in,5,430.6419725,2020,
Europe,FIN 233,FIN-in,5,113.8750759,2020,
Europe,FRA 1850,FRA-in,5,924.4603117,2020,
Europe,GBR 1941,GBR-in,5,989.3151864,2020,
Europe,GRC 145,GRC-in,5,79.27915326,2020,
Europe,HUN 285,HUN-in,5,143.1057119,2020,
Europe,IRL 1343,IRL-in,5,673.7659462,2020,
Europe,ITA 1163,ITA-in,5,534.3736955,2020,
Europe,LUX 926,LUX-in,5,461.2786607,2020,
Europe,NLD 1918,NLD-in,5,919.4332274,2020,
